watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,4,-74.25,-73,-77,4
31,RL,1,50,7,-73.8571428571429,-71,-77,6
31,RL,1,50,3,-75,-74,-77,3
31,RL,1,50,7,-73.7142857142857,-67,-82,15
31,RL,1,50,6,-73.6666666666667,-67,-82,15
31,RL,1,50,10,-74.6,-67,-82,15
31,RL,1,50,5,-75.8,-67,-82,15
31,RL,1,50,10,-74.8,-67,-82,15
31,RL,1,50,10,-74.5,-67,-82,15
31,RL,0,50,2,-82,-82,-82,0
31,RL,1,50,9,-73.6666666666667,-67,-82,15
31,RL,1,50,7,-73.4285714285714,-70,-78,8
31,RL,1,50,3,-72.6666666666667,-70,-75,5
31,RL,1,50,7,-72,-67,-78,11
31,RL,0,50,1,-73,-73,-73,0
31,RL,1,50,8,-72,-67,-77,10
31,RL,1,50,6,-72,-67,-77,10
31,RL,1,50,9,-72.5555555555556,-67,-77,10
31,RL,1,50,4,-73,-67,-77,10
31,RL,0,50,1,-77,-77,-77,0
31,RL,0,50,2,-74,-72,-76,4
31,RL,1,50,10,-72.8,-70,-76,6
31,RL,1,50,9,-72.4444444444444,-70,-75,5
31,RL,1,50,9,-72.6666666666667,-70,-75,5
31,RL,1,50,3,-71,-70,-72,2
31,RL,1,50,3,-72,-71,-73,2
31,RL,1,50,4,-73,-71,-75,4
31,RL,1,50,6,-73.8333333333333,-72,-76,4
